Home_Away,MATCHUP,ACTUAL_RESULT,TEAM_ID,TEAM_ABBREVIATION,TEAM_ID_OPP,YEAR,MONTH,DAY,MATCHUP_ID,Date
Away,GSW @ NOP,,1610612740,NOP,1610612744,2024,4,12,GSWNOP,2024-04-12
Away,POR @ HOU,,1610612745,HOU,1610612757,2024,4,12,HOUPOR,2024-04-12
Home,GSW vs. NOP,,1610612744,GSW,1610612740,2024,4,12,GSWNOP,2024-04-12
Home,POR vs. HOU,,1610612757,POR,1610612745,2024,4,12,HOUPOR,2024-04-12
Away,LAC @ UTA,,1610612762,UTA,1610612746,2024,4,12,LACUTA,2024-04-12
Away,SAC @ PHX,,1610612756,PHX,1610612758,2024,4,12,PHXSAC,2024-04-12
Home,LAC vs. UTA,,1610612746,LAC,1610612762,2024,4,12,LACUTA,2024-04-12
Home,SAC vs. PHX,,1610612758,SAC,1610612756,2024,4,12,PHXSAC,2024-04-12
Away,PHI @ ORL,,1610612753,ORL,1610612755,2024,4,12,ORLPHI,2024-04-12
Away,WAS @ CHI,,1610612741,CHI,1610612764,2024,4,12,CHIWAS,2024-04-12
Home,PHI vs. ORL,,1610612755,PHI,1610612753,2024,4,12,ORLPHI,2024-04-12
Home,WAS vs. CHI,,1610612764,WAS,1610612741,2024,4,12,CHIWAS,2024-04-12
Away,BOS @ CHA,,1610612766,CHA,1610612738,2024,4,12,BOSCHA,2024-04-12
Away,CLE @ IND,,1610612754,IND,1610612739,2024,4,12,CLEIND,2024-04-12
Away,NYK @ BKN,,1610612751,BKN,1610612752,2024,4,12,BKNNYK,2024-04-12
Home,BOS vs. CHA,,1610612738,BOS,1610612766,2024,4,12,BOSCHA,2024-04-12
Home,CLE vs. IND,,1610612739,CLE,1610612754,2024,4,12,CLEIND,2024-04-12
Home,NYK vs. BKN,,1610612752,NYK,1610612751,2024,4,12,BKNNYK,2024-04-12
Away,MEM @ LAL,,1610612747,LAL,1610612763,2024,4,12,LALMEM,2024-04-12
Away,MIA @ TOR,,1610612761,TOR,1610612748,2024,4,12,MIATOR,2024-04-12
Away,MIN @ ATL,,1610612737,ATL,1610612750,2024,4,12,ATLMIN,2024-04-12
Away,OKC @ MIL,,1610612749,MIL,1610612760,2024,4,12,MILOKC,2024-04-12
Away,SAS @ DEN,,1610612743,DEN,1610612759,2024,4,12,DENSAS,2024-04-12
Home,MEM vs. LAL,,1610612763,MEM,1610612747,2024,4,12,LALMEM,2024-04-12
Home,MIA vs. TOR,,1610612748,MIA,1610612761,2024,4,12,MIATOR,2024-04-12
Home,MIN vs. ATL,,1610612750,MIN,1610612737,2024,4,12,ATLMIN,2024-04-12
Home,OKC vs. MIL,,1610612760,OKC,1610612749,2024,4,12,MILOKC,2024-04-12
Home,SAS vs. DEN,,1610612759,SAS,1610612743,2024,4,12,DENSAS,2024-04-12
Away,DAL @ DET,,1610612765,DET,1610612742,2024,4,12,DALDET,2024-04-12
Home,DAL vs. DET,,1610612742,DAL,1610612765,2024,4,12,DALDET,2024-04-12
Away,PHX @ MIN,,1610612750,MIN,1610612756,2024,4,5,MINPHX,2024-04-05
Home,PHX vs. MIN,,1610612756,PHX,1610612750,2024,4,5,MINPHX,2024-04-05
